matrix size,M.M. average time,M.M.T. average time,M.M. std,M.M.T. std
100,0.00058635,0.0005563,0.000115464,8.71878e-05
1000,0.0784597,0.0521217,0.00403125,0.00270379
2000,0.353111,0.200984,0.0144644,0.00525407
3000,0.70516,0.474472,0.0146987,0.0242887
4000,1.26202,0.831595,0.0224306,0.0132227
5000,2.49587,1.41079,0.0292047,0.0148086
6000,3.62297,2.01683,0.0333296,0.0250033
7000,5.03131,2.8003,0.291472,0.111492
8000,6.56047,3.68432,0.187871,0.160204
9000,8.36109,4.57895,0.385537,0.121166
10000,11.1044,5.86407,0.643462,0.563637
